[2025-06-28 17:39:56,652] [INFO] [LoggerManager] [NO_SESSION] - Logging system initialized successfully
[2025-06-28 17:39:57,220] [INFO] [src.data.database] [NO_SESSION] - Database tables created successfully
[2025-06-28 17:39:57,221] [INFO] [src.data.database] [NO_SESSION] - Database initialized with URL: sqlite:///data/price_monitor.db
[2025-06-28 17:39:57,243] [INFO] [TestLogger] [bff736e9] - Info message test
[2025-06-28 17:39:57,243] [WARNING] [TestLogger] [bff736e9] - Warning message test
[2025-06-28 17:39:57,243] [INFO] [TestLogger] [bff736e9] - Structured log test
[2025-06-28 17:39:57,243] [INFO] [src.scrapers] [bff736e9] - ScraperFactory initialized with 5 scrapers
[2025-06-28 17:39:57,244] [INFO] [src.scrapers] [bff736e9] - Creating scraper: amazon -> AmazonScraper
[2025-06-28 17:39:57,244] [ERROR] [src.scrapers] [bff736e9] - Failed to create scraper amazon: Retry.__init__() got an unexpected keyword argument 'method_whitelist'
[2025-06-28 17:39:57,249] [INFO] [src.data.database] [bff736e9] - Created site: <Site(id=1, name='Amazon', scraper_type='static')>
[2025-06-28 17:39:57,259] [INFO] [src.scrapers] [bff736e9] - Creating scraper: amazon -> AmazonScraper
[2025-06-28 17:39:57,259] [ERROR] [src.scrapers] [bff736e9] - Failed to create scraper amazon: Retry.__init__() got an unexpected keyword argument 'method_whitelist'
[2025-06-28 17:39:57,259] [INFO] [src.scrapers] [bff736e9] - Creating scraper: amazon -> AmazonScraper
[2025-06-28 17:39:57,259] [ERROR] [src.scrapers] [bff736e9] - Failed to create scraper amazon: Retry.__init__() got an unexpected keyword argument 'method_whitelist'
[2025-06-28 17:41:54,690] [INFO] [LoggerManager] [NO_SESSION] - Logging system initialized successfully
[2025-06-28 17:41:54,909] [INFO] [src.data.database] [NO_SESSION] - Database tables created successfully
[2025-06-28 17:41:54,909] [INFO] [src.data.database] [NO_SESSION] - Database initialized with URL: sqlite:///data/price_monitor.db
[2025-06-28 17:41:54,932] [INFO] [TestLogger] [ffd95206] - Info message test
[2025-06-28 17:41:54,932] [WARNING] [TestLogger] [ffd95206] - Warning message test
[2025-06-28 17:41:54,932] [INFO] [TestLogger] [ffd95206] - Structured log test
[2025-06-28 17:41:54,932] [INFO] [src.scrapers] [ffd95206] - ScraperFactory initialized with 5 scrapers
[2025-06-28 17:41:54,932] [INFO] [src.scrapers] [ffd95206] - Creating scraper: amazon -> AmazonScraper
[2025-06-28 17:41:54,932] [INFO] [AmazonScraper] [ffd95206] - Initialized amazon scraper
[2025-06-28 17:41:54,932] [INFO] [src.scrapers] [ffd95206] - Creating scraper: ebay -> EbayScraper
[2025-06-28 17:41:54,933] [INFO] [EbayScraper] [ffd95206] - Initialized ebay scraper
[2025-06-28 17:41:54,933] [INFO] [src.scrapers] [ffd95206] - Creating scraper: walmart_selenium -> WalmartSeleniumScraper
[2025-06-28 17:41:54,933] [INFO] [WalmartSeleniumScraper] [ffd95206] - Initialized walmart scraper
[2025-06-28 17:41:56,632] [INFO] [WalmartSeleniumScraper] [ffd95206] - Selenium WebDriver initialized successfully
[2025-06-28 17:41:56,754] [WARNING] [urllib3.connectionpool] [ffd95206] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa4a8cc2ad0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/437f15b0668762b5c2ed3b2d7409bb57
[2025-06-28 17:41:56,773] [WARNING] [urllib3.connectionpool] [ffd95206] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa4a8cc2990>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/437f15b0668762b5c2ed3b2d7409bb57
[2025-06-28 17:41:56,793] [WARNING] [urllib3.connectionpool] [ffd95206] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa4a8cfbe10>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/437f15b0668762b5c2ed3b2d7409bb57
[2025-06-28 17:41:56,813] [INFO] [WalmartSeleniumScraper] [ffd95206] - WebDriver closed successfully
[2025-06-28 17:41:56,815] [INFO] [src.scrapers] [ffd95206] - Creating scraper: amazon -> AmazonScraper
[2025-06-28 17:41:56,816] [INFO] [AmazonScraper] [ffd95206] - Initialized amazon scraper
[2025-06-28 17:41:56,816] [INFO] [AmazonScraper] [ffd95206] - Starting to scrape product: https://www.amazon.com/dp/B0863FR3S9
[2025-06-28 17:41:58,989] [INFO] [AmazonScraper] [ffd95206] - Successfully scraped product: Sony WH-1000XM4 Wireless Premium Noise Canceling O... (Price: 217.0, Time: 2.17s)
[2025-06-28 17:41:58,990] [INFO] [src.scrapers] [ffd95206] - Creating scraper: amazon -> AmazonScraper
[2025-06-28 17:41:58,991] [INFO] [AmazonScraper] [ffd95206] - Initialized amazon scraper
[2025-06-28 18:06:17,866] [INFO] [LoggerManager] [NO_SESSION] - Logging system initialized successfully
[2025-06-28 18:06:18,149] [INFO] [src.data.database] [NO_SESSION] - Database tables created successfully
[2025-06-28 18:06:18,149] [INFO] [src.data.database] [NO_SESSION] - Database initialized with URL: sqlite:///data/price_monitor.db
[2025-06-28 18:06:18,170] [INFO] [TestLogger] [162b0910] - Info message test
[2025-06-28 18:06:18,170] [WARNING] [TestLogger] [162b0910] - Warning message test
[2025-06-28 18:06:18,171] [INFO] [TestLogger] [162b0910] - Structured log test
[2025-06-28 18:06:18,171] [INFO] [src.scrapers] [162b0910] - ScraperFactory initialized with 5 scrapers
[2025-06-28 18:06:18,171] [INFO] [src.scrapers] [162b0910] - Creating scraper: amazon -> AmazonScraper
[2025-06-28 18:06:18,171] [INFO] [AmazonScraper] [162b0910] - Initialized amazon scraper
[2025-06-28 18:06:18,171] [INFO] [src.scrapers] [162b0910] - Creating scraper: ebay -> EbayScraper
[2025-06-28 18:06:18,171] [INFO] [EbayScraper] [162b0910] - Initialized ebay scraper
[2025-06-28 18:06:18,171] [INFO] [src.scrapers] [162b0910] - Creating scraper: walmart_selenium -> WalmartSeleniumScraper
[2025-06-28 18:06:18,172] [INFO] [WalmartSeleniumScraper] [162b0910] - Initialized walmart scraper
[2025-06-28 18:06:18,796] [INFO] [WalmartSeleniumScraper] [162b0910] - Selenium WebDriver initialized successfully
[2025-06-28 18:06:18,922] [WARNING] [urllib3.connectionpool] [162b0910] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f927aade990>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e0a17a007e2d739c858c8d8d8245ef86
[2025-06-28 18:06:18,940] [WARNING] [urllib3.connectionpool] [162b0910] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f927aade850>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e0a17a007e2d739c858c8d8d8245ef86
[2025-06-28 18:06:18,960] [WARNING] [urllib3.connectionpool] [162b0910] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f927ad635c0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e0a17a007e2d739c858c8d8d8245ef86
[2025-06-28 18:06:18,980] [INFO] [WalmartSeleniumScraper] [162b0910] - WebDriver closed successfully
[2025-06-28 18:06:18,983] [INFO] [src.scrapers] [162b0910] - Creating scraper: amazon -> AmazonScraper
[2025-06-28 18:06:18,984] [INFO] [AmazonScraper] [162b0910] - Initialized amazon scraper
[2025-06-28 18:06:18,984] [INFO] [AmazonScraper] [162b0910] - Starting to scrape product: https://www.amazon.com/dp/B0863FR3S9
[2025-06-28 18:06:21,325] [INFO] [AmazonScraper] [162b0910] - Successfully scraped product: Sony WH-1000XM4 Wireless Premium Noise Canceling O... (Price: 217.0, Time: 2.34s)
[2025-06-28 18:06:21,326] [INFO] [src.scrapers] [162b0910] - Creating scraper: amazon -> AmazonScraper
[2025-06-28 18:06:21,326] [INFO] [AmazonScraper] [162b0910] - Initialized amazon scraper
[2025-06-28 18:07:44,104] [INFO] [LoggerManager] [NO_SESSION] - Logging system initialized successfully
[2025-06-28 18:07:44,493] [INFO] [src.scrapers] [NO_SESSION] - ScraperFactory initialized with 5 scrapers
[2025-06-28 18:07:45,099] [INFO] [src.data.database] [NO_SESSION] - DatabaseManager initialized
[2025-06-28 18:20:49,723] [INFO] [LoggerManager] [NO_SESSION] - Logging system initialized successfully
[2025-06-28 18:21:41,652] [INFO] [LoggerManager] [NO_SESSION] - Logging system initialized successfully
[2025-06-28 18:23:20,184] [INFO] [LoggerManager] [NO_SESSION] - Logging system initialized successfully
[2025-06-28 18:24:50,890] [INFO] [LoggerManager] [NO_SESSION] - Logging system initialized successfully
[2025-06-28 18:24:51,023] [INFO] [src.data.processors] [NO_SESSION] - DataProcessor initialized with validation rules.
[2025-06-28 18:24:51,027] [INFO] [src.data.processors] [NO_SESSION] - DataProcessor initialized with validation rules.
[2025-06-28 18:24:51,028] [ERROR] [src.data.processors] [NO_SESSION] - Data validation failed for URL http://example.com/product: Title is too short (min: 5).
[2025-06-28 18:24:51,030] [INFO] [src.data.processors] [NO_SESSION] - DataProcessor initialized with validation rules.
